# LAMMPS data file: Ethylene carbonate + Li+ (200 mol + 1 Li+)
# Generated by build_solvent_data.py

2001 atoms
6 atom types

0.0 35.3439 xlo xhi
0.0 35.3439 ylo yhi
0.0 35.3439 zlo zhi

Masses

  1  12.0110  # C_car
  2  15.9990  # O_est
  3  12.0110  # C_ec
  4  15.9990  # O_car
  5  1.0080  # H_ec
  6  6.9410  # Li

Pair Coeffs  # lj/cut/soft  (eps kcal/mol, sigma Ang, lambda)

  1  0.105000  3.7500  # C_car: Carbonyl C in cyclic carbonate
  2  0.170000  3.0000  # O_est: Ester O in cyclic carbonate
  3  0.066000  3.5000  # C_ec: Ring CH2 alpha to O in EC
  4  0.210000  2.9600  # O_car: Carbonyl O in cyclic carbonate
  5  0.030000  2.5000  # H_ec: H on ring CH2 in EC
  6  0.336700  1.4094  # Li: Li+ ion

Atoms  # full

  72  8  2  -0.3680  9.383593  10.484831  3.467042  # O_est
  73  8  3  0.1950  8.074419  9.512947  4.138556  # C_ec
  74  8  3  0.1950  6.738160  9.529390  2.988094  # C_ec
  75  8  2  -0.3680  7.221479  10.511435  1.605555  # O_est
  76  8  4  -0.5000  9.305680  10.126640  1.365839  # O_car
  77  8  5  0.0000  8.674810  9.080881  3.435028  # H_ec
  78  8  5  0.0000  7.474029  9.945013  4.842083  # H_ec
  79  8  5  0.0000  7.338550  9.097324  2.284566  # H_ec
  80  8  5  0.0000  6.137770  9.961456  3.691621  # H_ec
  81  9  1  0.7200  23.339063  14.064025  13.434322  # C_car
  82  9  2  -0.3680  21.720529  14.149028  12.739665  # O_est
  83  9  3  0.1950  21.134400  12.500455  12.520382  # C_ec
  84  9  3  0.1950  22.390685  11.396580  13.079514  # C_ec
  85  9  2  -0.3680  23.753242  12.362919  13.644360  # O_est
  86  9  4  -0.5000  22.866798  14.085224  14.537280  # O_car
  87  9  5  0.0000  21.074630  12.905986  13.455300  # H_ec
  88  9  5  0.0000  21.194170  12.094925  11.585463  # H_ec
  89  9  5  0.0000  22.330915  11.802110  14.014432  # H_ec
  90  9  5  0.0000  22.450455  10.991049  12.144595  # H_ec
  91  10  1  0.7200  22.216734  21.174386  4.763527  # C_car
  92  10  2  -0.3680  23.930947  21.540593  4.955331  # O_est
  93  10  3  0.1950  24.226112  21.890891  6.658150  # C_ec
  94  10  3  0.1950  22.694321  21.741180  7.518746  # C_ec
  95  10  2  -0.3680  21.452457  21.298355  6.347805  # O_est
  96  10  4  -0.5000  22.442511  20.012877  4.963333  # O_car
  97  10  5  0.0000  24.164437  20.911207  6.377944  # H_ec
  98  10  5  0.0000  24.287788  22.870575  6.938355  # H_ec
  99  10  5  0.0000  22.632646  20.761496  7.238540  # H_ec
  100  10  5  0.0000  22.755997  22.720864  7.798952  # H_ec
  101  11  1  0.7200  34.419797  21.673195  18.661745  # C_car
